Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Volume,Has Bandstructure,Crystal System
mp-780872,LiMnSiO4,P21/c,-2.589,0point088,0.982,56,3.361,608.454,1,monoclinic
mp-761765,Li3Mn3SiO8,P2/m,-2.329,0point088,0.915,15,3.853,147.276,1,monoclinic
mp-780287,Li3Mn2(SiO4)2,P21,-2.605,0point089,0.0,30,2.898,360.853,True,monoclinic
mp-774356,Li3Mn2(SiO4)2,Pc,-2.604,0point09,0.0,30,2.91,359.343,1,monoclinic
mp-850760,Li2MnSi4O11,C2/c,-2.832,0point091,1.37,36,2.868,413.524,1,monoclinic
mp-775353,Li5Mn(SiO3)4,C2,-2.79,0point091,1.342,132,2.584,1518.85,0,monoclinic
mp-769538,Li3Mn2(SiO4)2,P21,-2.601,0point093,0.0,30,3.001,348.469,1,monoclinic
mp-767011,Li7Mn3(SiO6)2,C2/m,-2.439,0point095,1.291,24,3.671,208.787,True,monoclinic
mp-510708,LiFe(SiO3)2,C2/c,-2.82,0point0,2.703,20,,217.186,True,monoclinic
mp-19061,LiFe(SiO3)2,P21/c,-2.82,0point001,2.755,40,3.309,431.516,True,monoclinic
mp-646320,Li2FeSiO4,P21/c,-2.625,0point001,3.443,32,3.067,350.466,False,monoclinic
mp-763629,Li2FeSiO4,Pc,-2.621,0point005,3.027,16,3.073,174.862,True,monoclinic
mp-763264,Li2FeSiO4,P21,-2.619,0point007,3.401,32,3.005,357.648,True,monoclinic
mp-868123,LiFe(Si2O5)2,P2/c,-2.985,0point009,3.362,32,2.43,457.962,False,monoclinic
mp-761968,Li4FeSi2O7,Cc,-2.731,0point011,3.415,28,2.81,297.609,True,monoclinic
mp-762639,LiFeSiO4,Pc,-2.61,0point012,3.026,28,2.852,360.726,True,monoclinic
mp-762893,LiFeSiO4,Cc,-2.608,0point014,2.967,112,2.849,1444.106,False,monoclinic
mp-762925,LiFeSiO4,Cc,-2.608,0point014,2.969,112,2.848,1444.706,False,monoclinic
mp-767077,Li5Fe(SiO4)2,C2,-2.677,0point014,2.466,16,2.616,174.413,True,monoclinic
mp-767027,Li4FeSi2O7,C2,-2.722,0point02,3.442,14,2.824,148.024,True,monoclinic
mp-764348,LiFeSiO4,P21/c,-2.601,0point02,2.904,28,2.873,358.057,True,monoclinic
mp-761394,Li4Fe2Si3O10,C2/c,-2.71,0point021,3.159,38,2.978,427.934,True,monoclinic
mp-775228,LiFeSiO4,Pc,-2.599,0point023,0.401,14,2.87,179.222,True,monoclinic
mp-762554,Li2FeSiO4,P21/c,-2.603,0point023,3.448,32,3.028,354.961,False,monoclinic
mp-761644,Li2Fe3Si3O10,C2/c,-2.635,0point024,3.028,36,3.463,408.228,True,monoclinic
mp-764344,Li2FeSiO4,P21,-2.603,0point024,2.931,16,3.06,175.643,True,monoclinic
mp-778685,LiFe(SiO3)2,Cc,-2.793,0point028,3.273,20,2.602,274.334,False,monoclinic
mp-762645,LiFeSiO4,Pc,-2.59,0point032,2.839,28,2.843,361.8,True,monoclinic
mp-762786,Li3Fe2(SiO4)2,P21,-2.586,0point038,1.378,30,2.921,360.017,True,monoclinic
mp-765961,LiFeSi3O8,P21/c,-2.887,0point04,3.144,52,2.69,679.101,True,monoclinic
mp-764784,LiFeSiO4,Cc,-2.577,0point045,3.01,14,2.366,217.361,True,monoclinic
mp-765881,LiFeSi3O8,C2/c,-2.879,0point049,3.186,52,2.656,687.841,True,monoclinic
mp-762861,LiFeSiO4,P21/c,-2.572,0point05,3.028,84,2.857,1080.318,False,monoclinic
mp-762613,Li2Fe2Si2O7,P21/c,-2.598,0point051,3.159,52,3.149,619.645,True,monoclinic
mp-780866,LiFe2Si2O7,P21/c,-2.598,0point051,2.01,48,2.911,654.481,True,monoclinic
mp-762862,LiFeSiO4,P21/c,-2.571,0point051,3.042,84,2.872,1074.67,False,monoclinic
mp-767973,Li2Fe(SiO3)2,C2/c,-2.754,0point051,3.222,22,2.758,267.162,True,monoclinic
mp-762796,LiFeSiO4,Cc,-2.57,0point052,2.899,14,2.719,189.186,True,monoclinic
mp-762565,Li10Fe(SiO5)2,C2/m,-2.476,0point055,1.715,46,2.399,472.581,True,monoclinic
mp-764355,LiFeSiO4,Pc,-2.566,0point055,2.955,14,2.644,194.528,True,monoclinic
mp-763619,Li2Fe(SiO3)2,P21,-2.748,0point058,3.392,22,2.878,256.015,True,monoclinic
mp-761624,LiFeSi3O8,C2,-2.868,0point059,3.215,26,2.59,352.651,True,monoclinic
mp-767938,LiFeSiO4,P21/c,-2.562,0point059,2.871,28,2.843,361.839,True,monoclinic
mp-762650,Li3Fe2(SiO4)2,P21,-2.564,0point06,1.331,30,3.026,347.513,True,monoclinic
mp-763781,Li3Fe2(SiO4)2,Pc,-2.564,0point06,1.684,30,2.741,383.694,True,monoclinic
mp-767668,Li9Fe5(SiO8)2,P2/m,-2.324,0point06,1.646,32,3.782,287.056,True,monoclinic
mp-762656,LiFeSiO4,Pc,-2.561,0point061,2.724,28,2.895,355.354,True,monoclinic
mp-767283,LiFeSiO4,Pc,-2.56,0point062,2.587,14,2.947,174.534,True,monoclinic
mp-774106,Li3Fe2(SiO4)2,Pc,-2.562,0point062,1.511,30,2.991,351.593,True,monoclinic
mp-767838,LiFeSiO4,P21,-2.56,0point062,2.727,28,2.889,356.057,True,monoclinic
mp-762571,Li2Fe(Si2O5)2,P21/c,-2.913,0point062,3.661,68,2.417,940.148,False,monoclinic
mp-765416,Li2Fe2Si8O19,C2,-2.955,0point063,3.031,31,2.711,400.68,True,monoclinic
mp-762723,Li3Fe2(SiO4)2,P21,-2.561,0point063,1.259,30,2.943,357.383,False,monoclinic
mp-762586,LiFeSiO4,P21,-2.555,0point066,2.576,28,3.068,335.324,True,monoclinic
mp-761546,LiFeSiO4,P2,-2.553,0point068,2.736,84,2.499,1234.971,False,monoclinic
mp-778622,Li3Fe2(SiO4)2,Pc,-2.556,0point069,1.923,30,2.891,363.781,True,monoclinic
mp-762646,LiFeSiO4,P21/c,-2.553,0point069,2.164,56,3.289,625.575,True,monoclinic
mp-767963,Li2FeSi3O8,P21,-2.84,0point069,3.081,28,2.665,351.384,True,monoclinic
mp-762535,Li2Fe2(SiO3)3,P21/c,-2.696,0point072,3.017,64,2.611,899.949,False,monoclinic
mp-762539,Li2FeSiO4,P21/c,-2.553,0point073,2.649,32,2.877,373.622,True,monoclinic
mp-762562,Li2Fe(Si2O5)2,P21/m,-2.898,0point077,3.171,68,2.518,902.44,True,monoclinic
mp-761782,Li7Fe3(SiO6)2,C2/m,-2.409,0point078,1.658,24,3.692,208.83,True,monoclinic
mp-767149,Li2FeSi3O8,P21,-2.827,0point081,2.614,28,2.719,344.39,True,monoclinic
mp-762541,Li4Fe(SiO3)3,C2,-2.758,0point082,3.073,34,2.702,383.352,True,monoclinic
mp-761991,Li3Fe3SiO8,P2/m,-2.257,0point083,1.476,15,3.942,145.111,True,monoclinic
mp-762585,LiFeSiO4,P21/c,-2.528,0point094,2.351,28,3.058,336.427,True,monoclinic
mp-766984,Li2Fe(Si2O5)3,P21,-2.89,0point095,0.332,48,2.555,621.599,True,monoclinic
mp-762714,Li2FeSi4O11,C2/c,-2.785,0point098,0.03,36,2.788,426.538,False,monoclinic
mp-761452,Li2Fe(Si2O5)3,Cc,-2.876,0point109,0.264,48,2.309,687.797,True,monoclinic
mp-780871,LiFe2(SiO4)2,P2,-2.423,0point117,2.528,78,2.474,1219.453,False,monoclinic
mp-763301,Li2CoSiO4,Pc,-2.537,0point0,2.957,16,3.216,170.265,True,monoclinic
mp-764958,Li2CoSiO4,P21,-2.523,0point014,2.934,16,3.201,171.08,True,monoclinic
mp-763512,Li2CoSiO4,P21/c,-2.516,0point02,2.769,32,3.15,347.706,True,monoclinic
mp-763470,Li2CoSiO4,P21/c,-2.515,0point021,2.827,32,3.108,352.365,True,monoclinic
mp-764634,Li2CoSiO4,C2/m,-2.51,0point027,2.457,16,3.088,177.349,True,monoclinic
mp-763396,Li4Co2Si3O10,C2/c,-2.617,0point038,2.876,38,3.078,420.615,True,monoclinic
mp-763465,Li2CoSiO4,P21/c,-2.495,0point042,2.684,32,3.13,349.97,True,monoclinic
mp-781591,Li3Co2(SiO4)2,Pc,-2.452,0point043,0.0,30,3.115,344.253,True,monoclinic
mp-763382,Li2Co2Si2O7,P21/c,-2.478,0point047,2.825,52,3.322,599.601,True,monoclinic
mp-763575,Li10Co(SiO5)2,C2/m,-2.444,0point048,1.941,46,2.409,474.87,True,monoclinic
mp-773761,LiCo(SiO3)2,Cc,-2.638,0point052,1.711,20,2.745,263.753,True,monoclinic
mp-763389,Li2Co(SiO3)2,C2/c,-2.687,0point053,3.233,22,2.861,261.142,True,monoclinic
mp-762751,Li3Co2(SiO4)2,Pc,-2.438,0point057,0.315,30,3.035,353.345,False,monoclinic
mp-767356,LiCo(SiO3)2,C2/c,-2.632,0point058,1.238,20,3.405,212.692,True,monoclinic
mp-762812,Li3Co2(SiO4)2,Pc,-2.436,0point059,0.35,30,3.052,351.323,False,monoclinic
mp-762978,LiCoSiO4,Cc,-2.376,0point06,1.281,112,2.998,1399.85,False,monoclinic
mp-774355,Li3Co2(SiO4)2,Pc,-2.433,0point063,0.541,30,3.092,346.722,True,monoclinic
mp-763592,LiCoSiO4,Pc,-2.372,0point063,1.468,28,2.961,354.341,True,monoclinic
mp-763255,LiCoSiO4,Pc,-2.372,0point064,1.373,14,2.964,176.961,True,monoclinic
mp-779186,Li3Co2(SiO4)2,P21,-2.431,0point064,0.022,30,3.032,353.617,True,monoclinic
mp-762886,LiCoSiO4,P21/c,-2.369,0point066,1.374,28,3.015,347.967,True,monoclinic
mp-763256,LiCoSiO4,Pc,-2.369,0point067,1.59,14,2.998,174.957,True,monoclinic
mp-763399,Li2Co2(SiO3)3,P21/c,-2.598,0point069,2.727,64,2.739,872.856,True,monoclinic
mp-765005,Li2Co(SiO3)2,P21,-2.669,0point072,2.883,22,2.947,253.565,True,monoclinic
mp-763385,Li2Co(Si2O5)2,P21/c,-2.858,0point075,3.254,68,2.429,943.786,False,monoclinic
mp-779222,Li3Co2(SiO4)2,Pc,-2.418,0point078,0.147,30,3.003,357.078,True,monoclinic
mp-763313,LiCoSiO4,P21,-2.357,0point079,1.434,14,2.952,177.732,True,monoclinic
mp-762976,LiCoSiO4,P21/c,-2.352,0point083,1.403,84,3.017,1043.295,False,monoclinic
mp-764963,Li2CoSi3O8,P21,-2.772,0point085,3.159,28,2.771,341.661,True,monoclinic
mp-763253,LiCoSiO4,Pc,-2.349,0point086,1.474,14,3.096,169.421,True,monoclinic
mp-764463,Li3Co2Si3O10,Cc,-2.539,0point089,0.724,36,2.914,436.508,True,monoclinic
mp-762974,LiCoSiO4,P21/c,-2.347,0point089,1.494,84,2.999,1049.613,False,monoclinic
mp-763384,Li2Co(Si2O5)2,P21/m,-2.842,0point091,2.499,68,2.564,894.099,False,monoclinic
mp-763364,Li4Co(SiO3)3,C2,-2.706,0point092,2.938,34,2.754,379.735,True,monoclinic
mp-763500,LiCoSiO4,P21/c,-2.341,0point095,0.892,28,3.84,273.243,True,monoclinic
mp-850488,LiCoSiO4,Pc,-2.338,0point098,1.255,28,3.019,347.495,False,monoclinic
mp-763246,LiCoSiO4,Pc,-2.338,0point098,1.386,14,2.841,184.681,True,monoclinic
mp-767301,Li3Co2(SiO4)2,C2,-2.396,0point099,0.637,15,2.931,182.928,True,monoclinic
mp-762293,LiCoSiO4,Cc,-2.333,0point102,1.266,14,2.884,181.921,True,monoclinic
mp-849671,Li5Co2(SiO5)2,Pc,-2.301,0point103,0.235,38,2.838,431.503,True,monoclinic
mp-765142,LiCoSiO4,Cc,-2.332,0point104,1.552,14,2.724,192.593,True,monoclinic
mp-566680,Li2MnSiO4,P21nm,-2.705,0point0,3.052,16,3.039,175.842,True,orthorhombic
mp-763876,Li2MnSiO4,Pcmn,-2.705,0point0,3.07,32,3.013,354.747,True,orthorhombic
mp-849238,Li2MnSiO4,Pmnb,-2.695,0point01,2.882,32,2.97,359.824,True,orthorhombic
mp-775454,Li2MnSiO4,Pna21,-2.694,0point011,2.88,32,2.957,361.437,True,orthorhombic
mp-780918,Li2MnSiO4,Pna21,-2.694,0point011,2.965,32,2.926,365.204,True,orthorhombic
mp-780833,Li2MnSiO4,C2221,-2.691,0point014,2.962,16,2.882,185.391,True,orthorhombic
mp-850110,Li2Mn(SiO3)2,Fdd2,-2.849,0point014,3.487,22,2.74,267.86,True,orthorhombic
mp-768020,Li2MnSiO4,Pbn21,-2.685,0point019,2.823,32,2.997,356.585,True,orthorhombic
mp-868361,Li2Mn2Si2O7,C2cm,-2.712,0point033,2.869,26,3.3,293.746,True,orthorhombic
mp-761776,LiMn(SiO3)2,Pbca,-2.824,0point036,0.037,80,3.343,850.626,False,orthorhombic
mp-780533,LiMnSiO4,Pmnb,-2.632,0point046,0.99,28,3.598,284.227,True,orthorhombic
mp-762836,Li3Mn(Si2O5)3,Cmce,-2.972,0point051,1.369,100,2.603,1235.941,False,orthorhombic
mp-780325,LiMnSiO4,Cmcm,-2.626,0point052,0.0,14,3.609,141.676,True,orthorhombic
mp-762828,LiMnSiO4,Pna21,-2.623,0point054,0.11,84,3.55,864.216,False,orthorhombic
mp-850152,Li2MnSiO4,Pca21,-2.65,0point054,2.852,64,2.8,763.324,True,orthorhombic
mp-761523,Li2Mn2(Si2O5)3,Cmce,-2.95,0point055,3.376,100,2.634,1342.122,False,orthorhombic
mp-761666,Li3Mn(Si2O5)3,Pcmn,-2.968,0point055,1.154,100,2.76,1165.318,False,orthorhombic
mp-762845,Li4Mn2Si4O13,Pna21,-2.757,0point059,1.363,92,3.047,998.5,False,orthorhombic
mp-775449,Li2Mn(SiO3)2,Fdd2,-2.802,0point061,3.072,66,2.661,827.376,True,orthorhombic
mp-850153,Li2Mn2(SiO3)3,Pnma,-2.779,0point067,3.077,64,3.034,770.62,True,orthorhombic
mp-780089,Li3MnSi2O7,Pbnm,-2.709,0point069,1.472,52,2.895,559.694,True,orthorhombic
mp-761485,Li2Mn(SiO3)2,Pmn21,-2.791,0point072,2.607,66,2.933,750.79,True,orthorhombic
mp-849442,Li2Mn(Si2O5)2,P212121,-2.939,0point073,3.783,68,2.29,989.646,False,orthorhombic
mp-780825,LiMnSiO4,Pcmn,-2.603,0point074,1.059,28,3.325,307.52,True,orthorhombic
mp-774444,Li2Mn3(SiO3)4,Pnma,-2.762,0point076,1.527,84,2.856,1123.305,False,orthorhombic
mp-780637,Li3MnSiO5,P21nb,-2.529,0point077,0.235,40,2.798,436.412,True,orthorhombic
mp-763718,Li2Mn(SiO3)2,Pm21n,-2.784,0point079,2.76,66,2.933,750.671,True,orthorhombic
mp-767364,Li2Mn2Si2O7,C2cm,-2.666,0point079,2.696,26,2.944,329.286,True,orthorhombic
mp-761619,LiMn(SiO3)2,Pbca,-2.78,0point08,1.2,80,3.306,860.04,True,orthorhombic
mp-775156,LiMnSiO4,Pbca,-2.595,0point082,1.267,56,2.994,683.102,True,orthorhombic
mp-849469,Li2Mn2(SiO3)3,Pnma,-2.764,0point083,3.248,64,2.436,959.619,False,orthorhombic
mp-850969,LiMnSiO4,Pna21,-2.591,0point087,1.569,28,2.988,342.286,True,orthorhombic
mp-780790,Li2Mn2Si2O9,Pnca,-2.481,0point088,0.889,60,3.573,602.169,True,orthorhombic
mp-780750,LiMnSiO4,Ibmm,-2.584,0point093,0.0,14,3.855,132.65,True,orthorhombic
mp-761352,LiMnSiO4,Imma,-2.581,0point097,0.903,14,3.739,136.74,True,orthorhombic
mp-764790,Li2FeSiO4,Pcmn,-2.626,0point0,3.121,32,3.094,347.336,True,orthorhombic
mp-18968,Li2FeSiO4,P21nm,-2.626,0point001,3.124,16,3.123,172.094,True,orthorhombic
mp-761416,LiFe(SiO3)2,Pbca,-2.818,0point003,2.745,80,3.333,856.726,True,orthorhombic
mp-764346,Li2FeSiO4,P21cn,-2.621,0point005,2.993,32,3.065,350.604,True,orthorhombic
mp-763645,Li2FeSiO4,Pmnb,-2.621,0point005,3.089,32,3.049,352.518,True,orthorhombic
mp-764341,Li3FeSiO5,P21nb,-2.56,0point008,2.314,40,2.831,433.391,True,orthorhombic
mp-762557,Li2FeSiO4,Pna21,-2.618,0point009,2.946,32,3.01,357.063,True,orthorhombic
mp-863851,LiFeSiO4,Pbnm,-2.611,0point01,2.3,28,3.563,288.72,True,orthorhombic
mp-765849,LiFe(SiO3)2,C222,-2.81,0point011,3.023,10,2.523,141.451,True,orthorhombic
mp-762566,Li2FeSiO4,C2221,-2.615,0point011,2.965,16,2.948,182.303,True,orthorhombic
mp-762540,Li2FeSiO4,Pbn21,-2.613,0point014,2.924,32,3.07,350.111,True,orthorhombic
mp-767964,Li2Fe(SiO3)2,Fdd2,-2.791,0point015,3.314,22,2.807,262.576,True,orthorhombic
mp-762581,LiFeSiO4,Pn21a,-2.604,0point018,2.961,28,2.89,355.979,True,orthorhombic
mp-764340,Li2FeSiO4,Pc21n,-2.607,0point02,2.957,32,2.986,359.989,True,orthorhombic
mp-763641,LiFeSiO4,Pb21a,-2.598,0point023,2.959,56,2.881,714.127,True,orthorhombic
mp-762799,LiFeSiO4,Pb21a,-2.598,0point024,2.979,56,2.875,715.629,True,orthorhombic
mp-763635,LiFeSiO4,Pna21,-2.597,0point025,2.963,28,2.866,358.902,True,orthorhombic
mp-767253,LiFeSiO4,C2221,-2.597,0point025,2.874,14,2.863,179.638,True,orthorhombic
mp-766714,Li3Fe(Si2O5)3,Cmce,-2.976,0point032,3.386,100,2.592,1243.201,False,orthorhombic
mp-762643,LiFeSiO4,Cmcm,-2.588,0point034,1.657,14,3.628,141.773,True,orthorhombic
mp-766664,LiFeSiO4,Pna21,-2.587,0point035,1.675,84,3.644,846.947,True,orthorhombic
mp-761764,Li3Fe(Si2O5)3,Pcmn,-2.971,0point037,3.262,100,2.735,1178.251,False,orthorhombic
mp-762844,Li4Fe2Si4O13,Pna21,-2.743,0point038,2.78,92,3.104,983.89,False,orthorhombic
mp-868323,LiFeSiO4,Pbnm,-2.582,0point04,1.989,28,3.634,283.063,True,orthorhombic
mp-767850,LiFeSiO4,Pc21n,-2.58,0point042,2.87,28,2.914,353.0,True,orthorhombic
mp-766989,LiFe(Si2O5)2,Pnc2,-2.952,0point043,3.053,32,2.798,397.806,True,orthorhombic
mp-761405,Li2Fe2Si2O7,C2cm,-2.603,0point046,3.129,26,3.414,285.751,True,orthorhombic
mp-773415,Li2Fe2(Si2O5)3,Cmce,-2.904,0point05,3.152,100,2.651,1338.234,False,orthorhombic
mp-761767,LiFe(SiO3)2,Pbca,-2.77,0point051,2.981,80,3.098,921.698,False,orthorhombic
mp-767743,LiFeSiO4,Pbn21,-2.569,0point052,2.833,28,2.869,358.537,True,orthorhombic
mp-762703,LiFeSiO4,P21nb,-2.566,0point055,2.63,28,2.882,356.872,True,orthorhombic
mp-762545,Li2FeSiO4,Pca21,-2.571,0point056,2.78,64,2.875,747.562,True,orthorhombic
mp-762587,LiFeSiO4,Pb21a,-2.565,0point057,2.855,56,2.874,715.92,True,orthorhombic
mp-762570,Li3FeSi2O7,Pbnm,-2.691,0point057,2.512,52,2.89,562.749,True,orthorhombic
mp-851283,LiFeSiO4,Pc21n,-2.564,0point058,2.73,28,2.856,360.121,True,orthorhombic
mp-863911,Li2Fe(SiO3)2,Fdd2,-2.748,0point058,2.917,66,2.723,811.767,True,orthorhombic
mp-762804,LiFeSiO4,P21nb,-2.563,0point059,2.551,28,2.966,346.859,True,orthorhombic
mp-766752,Li7Fe7SiO16,C222,-2.142,0point062,1.438,31,4.186,287.012,True,orthorhombic
mp-863885,LiFe(SiO3)2,C2221,-2.757,0point064,3.23,40,2.375,601.224,True,orthorhombic
mp-775303,Li2Fe(Si2O5)3,Cmce,-2.918,0point067,3.155,96,2.527,1257.084,False,orthorhombic
mp-761559,LiFeSiO4,Pna21,-2.554,0point068,2.603,28,2.934,350.638,True,orthorhombic
mp-761450,LiFeSi3O8,P212121,-2.858,0point069,3.182,52,2.676,682.572,True,orthorhombic
mp-868349,LiFeSiO4,Pna21,-2.551,0point07,2.631,28,2.984,344.706,True,orthorhombic
mp-766964,Li2Fe2SiO6,C222,-2.365,0point072,2.493,11,2.625,157.939,True,orthorhombic
mp-762620,Li2Fe(Si2O5)2,P212121,-2.899,0point076,3.435,68,2.323,977.912,False,orthorhombic
mp-773468,LiFeSiO4,Imma,-2.546,0point076,1.311,14,3.898,131.954,True,orthorhombic
mp-863888,Li2Fe(SiO3)2,Pmn21,-2.73,0point076,2.624,66,3.023,731.236,True,orthorhombic
mp-762576,Li2Fe2Si2O7,C2cm,-2.573,0point076,2.7,26,3.039,320.953,True,orthorhombic
mp-762534,Li2Fe2(SiO3)3,Pnma,-2.69,0point077,3.087,64,3.128,751.301,True,orthorhombic
mp-762648,LiFeSiO4,P212121,-2.544,0point078,1.873,28,3.34,307.957,True,orthorhombic
mp-762533,Li2Fe2(SiO3)3,Pnma,-2.69,0point078,3.114,64,2.573,913.228,False,orthorhombic
mp-762686,LiFeSiO4,Pna21,-2.544,0point078,2.38,28,2.872,358.225,True,orthorhombic
mp-763624,Li2Fe(SiO3)2,Pm21n,-2.726,0point08,2.88,66,3.017,732.676,True,orthorhombic
mp-762696,LiFeSiO4,Pbca,-2.539,0point083,1.791,56,2.96,694.96,True,orthorhombic
mp-762746,Li2Fe2SiO6,Fdd2,-2.348,0point089,2.223,66,2.98,834.696,True,orthorhombic
mp-868335,Li2Fe2Si3O10,F2dd,-2.647,0point092,3.04,34,2.286,537.355,True,orthorhombic
mp-865154,LiFe(Si3O7)2,Icma,-2.981,0point093,2.647,88,2.807,1077.384,False,orthorhombic
mp-762827,Li5Fe(SiO4)2,Pnma,-2.598,0point094,2.082,128,2.655,1374.684,False,orthorhombic
mp-762638,LiFeSiO4,P21nb,-2.527,0point095,2.128,56,2.635,780.749,True,orthorhombic
mp-762775,Li2Fe2Si2O9,Pnca,-2.339,0point111,0.033,60,3.442,628.652,False,orthorhombic
mp-763746,Li2FeSiO5,Pmc21,-2.342,0point112,0.0,36,3.125,377.974,True,orthorhombic
mp-775750,LiFe(Si2O5)3,Cmce,-2.836,0point122,2.611,92,2.508,1248.278,False,orthorhombic
mp-767128,Li2CoSiO4,P21nm,-2.532,0point005,2.72,16,3.249,168.54,True,orthorhombic
mp-764641,Li2CoSiO4,Pc21n,-2.532,0point005,2.918,32,3.181,344.33,True,orthorhombic
mp-763304,Li2CoSiO4,Pc21n,-2.532,0point005,2.994,32,3.148,347.939,True,orthorhombic
mp-763309,Li2CoSiO4,Pcmn,-2.531,0point006,2.841,32,3.231,338.972,True,orthorhombic
mp-764956,Li2CoSiO4,C2221,-2.527,0point01,2.8,16,3.104,176.442,True,orthorhombic
mp-763391,Li2Co(SiO3)2,F2dd,-2.729,0point012,2.973,22,2.888,258.73,True,orthorhombic
mp-763485,Li2CoSiO4,Pmnb,-2.523,0point014,2.693,32,3.159,346.674,True,orthorhombic
mp-764957,Li2CoSiO4,Pbn21,-2.522,0point015,2.757,32,3.226,339.508,True,orthorhombic
mp-763492,Li3CoSiO5,P21nb,-2.418,0point033,1.176,40,2.941,424.186,True,orthorhombic
mp-762880,LiCoSiO4,Pn21a,-2.376,0point06,1.422,28,3.033,345.946,True,orthorhombic
mp-763240,LiCoSiO4,C2221,-2.374,0point062,1.265,14,2.98,176.01,True,orthorhombic
mp-543100,LiCoSiO4,Pbn21,-2.371,0point065,1.398,28,2.985,351.446,True,orthorhombic
mp-763443,Li2Co(SiO3)2,Fdd2,-2.675,0point065,2.969,66,2.861,783.351,True,orthorhombic
mp-763589,LiCoSiO4,Pb21a,-2.37,0point066,1.194,56,3.014,696.129,True,orthorhombic
mp-763584,LiCoSiO4,Pb21a,-2.369,0point067,1.31,56,3.029,692.711,True,orthorhombic
mp-772320,Li2CoSiO4,Pca21,-2.467,0point07,2.916,64,3.046,719.179,True,orthorhombic
mp-763369,Li2Co2Si2O7,C2cm,-2.455,0point07,2.344,26,3.213,309.993,True,orthorhombic
mp-779191,LiCoSiO4,Pbn21,-2.365,0point07,1.527,28,3.029,346.421,False,orthorhombic
mp-763386,Li2Co2Si2O7,C2cm,-2.453,0point072,2.84,26,3.579,278.304,True,orthorhombic
mp-763376,Li2Co(Si2O5)2,P212121,-2.858,0point075,3.273,68,2.37,967.213,True,orthorhombic
mp-763406,Li2Co2(SiO3)3,Pnma,-2.591,0point076,2.744,64,2.658,899.635,True,orthorhombic
